framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,dlinear,0,9264,12,0.76,0.017,0.0,0.305,40.033203125,4174.6,1.174,2.8312206268310547e-07,0.134532,True
deepprove,dlinear,1,9264,12,0.851,0.019,0.001,0.344,40.033203125,4174.8,1.329,4.76837158203125e-07,0.045146,True
deepprove,dlinear,2,9264,12,0.82,0.019,0.001,0.404,40.033203125,4174.6,1.359,1.043081283569336e-07,0.002545,True
deepprove,dlinear,3,9264,12,1.078,0.017,0.001,0.372,40.033203125,4174.6,1.581,3.5762786865234375e-07,0.04304,True
deepprove,dlinear,4,9264,12,0.806,0.017,0.001,0.387,40.033203125,4174.6,1.323,3.5762786865234375e-07,0.053999,True
deepprove,dlinear,5,9264,12,0.809,0.018,0.001,0.36,40.033203125,4174.6,1.302,3.5762786865234375e-07,0.047914,True
deepprove,dlinear,6,9264,12,0.883,0.019,0.001,0.385,40.033203125,4174.6,1.41,1.4901161193847656e-07,0.009098,True
deepprove,dlinear,7,9264,12,1.073,0.02,0.001,0.468,40.033203125,4174.6,1.685,3.5762786865234375e-07,0.079963,True
deepprove,dlinear,8,9264,12,0.95,0.017,0.001,0.44,40.033203125,4174.6,1.544,4.76837158203125e-07,0.27659,True
deepprove,dlinear,9,9264,12,0.957,0.022,0.001,0.45,40.033203125,4174.6,1.571,4.172325134277344e-07,0.29731,True
deepprove,dlinear,10,9264,12,1.235,0.018,0.001,0.595,40.033203125,4174.6,1.998,2.384185791015625e-07,0.075714,True
deepprove,dlinear,11,9264,12,0.862,0.017,0.001,0.378,40.033203125,4174.6,1.382,8.791685104370117e-07,0.132529,True
deepprove,dlinear,12,9264,12,1.023,0.027,0.001,0.417,40.033203125,4174.6,1.59,2.980232238769531e-07,0.042407,True
deepprove,dlinear,13,9264,12,0.896,0.017,0.001,0.479,40.033203125,4174.6,1.519,4.76837158203125e-07,0.037733,True
deepprove,dlinear,14,9264,12,1.156,0.017,0.001,0.36,40.033203125,4174.6,1.65,4.76837158203125e-07,0.024829,True
deepprove,dlinear,15,9264,12,0.827,0.017,0.001,0.386,40.033203125,4174.6,1.345,6.556510925292969e-07,0.050008,True
deepprove,dlinear,16,9264,12,1.015,0.017,0.001,0.404,40.033203125,4174.6,1.547,2.384185791015625e-07,0.10114,True
deepprove,dlinear,17,9264,12,0.861,0.019,0.001,0.374,40.033203125,4174.6,1.372,2.980232238769531e-07,0.286712,True
deepprove,dlinear,18,9264,12,0.83,0.017,0.001,0.354,40.033203125,4174.6,1.316,4.76837158203125e-07,0.068638,True
deepprove,dlinear,19,9264,12,0.995,0.018,0.001,0.384,40.033203125,4174.6,1.516,1.1920928955078125e-06,0.087013,True
deepprove,dlinear,20,9264,12,0.829,0.018,0.001,0.401,40.033203125,4174.6,1.367,4.76837158203125e-07,0.189951,True
deepprove,dlinear,21,9264,12,0.858,0.016,0.001,0.37,40.033203125,4174.6,1.362,3.2782554626464844e-07,0.086415,True
deepprove,dlinear,22,9264,12,0.839,0.017,0.001,0.424,40.033203125,4174.6,1.399,6.556510925292969e-07,0.051587,True
