framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,linear,0,4632,12,0.522,0.009,0.001,0.222,40.033203125,4174.6,3.025,1.862645149230957e-07,0.075062,True
deepprove,linear,1,4632,12,0.525,0.008,0.0,0.223,40.033203125,4174.6,0.828,3.5762786865234375e-07,0.061659,True
deepprove,linear,2,4632,12,0.726,0.017,0.0,0.227,40.033203125,4174.8,1.06,5.960464477539063e-08,0.001792,True
deepprove,linear,3,4632,12,1.008,0.021,0.001,0.323,40.033203125,4174.8,1.454,4.76837158203125e-07,0.055173,True
deepprove,linear,4,4632,12,0.853,0.017,0.001,0.38,40.033203125,4174.6,1.376,4.172325134277344e-07,0.042631,True
deepprove,linear,5,4632,12,0.881,0.018,0.001,0.374,40.033203125,4174.6,1.395,2.384185791015625e-07,0.029422,True
deepprove,linear,6,4632,12,0.858,0.018,0.001,0.367,40.033203125,4174.6,1.363,5.960464477539063e-08,0.005763,True
deepprove,linear,7,4632,12,1.03,0.018,0.001,0.458,40.033203125,4174.8,1.628,2.384185791015625e-07,0.068101,True
deepprove,linear,8,4632,12,0.851,0.018,0.001,0.353,40.033203125,4174.6,1.335,3.5762786865234375e-07,0.232582,True
deepprove,linear,9,4632,12,0.869,0.019,0.001,0.374,40.033203125,4174.6,1.379,3.5762786865234375e-07,0.292855,True
deepprove,linear,10,4632,12,1.073,0.017,0.001,0.374,40.033203125,4174.6,1.586,2.980232238769531e-07,0.072157,True
deepprove,linear,11,4632,12,0.862,0.017,0.001,0.388,40.033203125,4174.6,1.376,7.152557373046875e-07,0.104958,True
deepprove,linear,12,4632,12,0.845,0.018,0.001,0.345,40.033203125,4174.8,1.325,2.384185791015625e-07,0.038583,True
deepprove,linear,13,4632,12,0.869,0.019,0.001,0.383,40.033203125,3918.6,1.389,4.172325134277344e-07,0.026552,True
deepprove,linear,14,4632,12,0.907,0.018,0.001,0.471,40.033203125,4174.6,1.514,3.5762786865234375e-07,0.021603,True
deepprove,linear,15,4632,12,1.085,0.021,0.001,0.44,40.033203125,4174.6,1.687,4.172325134277344e-07,0.059496,True
deepprove,linear,16,4632,12,0.908,0.018,0.001,0.454,40.033203125,4174.6,1.509,3.8743019104003906e-07,0.099062,True
