framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,0,4632,12,0.637,0.019,0.0,0.236,40.033203125,4174.6,0.985,1.7881393432617188e-07,0.091613,True
deepprove,nlinear,1,4632,12,0.938,0.019,0.001,0.44,40.033203125,4174.6,1.623,4.172325134277344e-07,0.03685,True
deepprove,nlinear,2,4632,12,0.943,0.016,0.001,0.456,40.033203125,4174.6,1.541,1.043081283569336e-07,0.000191,True
deepprove,nlinear,3,4632,12,0.829,0.018,0.001,0.369,40.033203125,4174.6,1.334,7.152557373046875e-07,0.060932,True
deepprove,nlinear,4,4632,12,0.921,0.019,0.001,0.352,40.033203125,4174.6,1.409,2.384185791015625e-07,0.035288,True
deepprove,nlinear,5,4632,12,1.106,0.017,0.001,0.376,40.033203125,4174.6,1.613,4.76837158203125e-07,0.038074,True
deepprove,nlinear,6,4632,12,0.85,0.018,0.001,0.357,40.033203125,4174.6,1.342,1.1920928955078125e-07,0.005673,True
deepprove,nlinear,7,4632,12,0.839,0.018,0.001,0.371,40.033203125,4174.6,1.346,4.76837158203125e-07,0.071816,True
deepprove,nlinear,8,4632,12,0.877,0.022,0.001,0.36,40.033203125,4174.6,1.376,4.172325134277344e-07,0.250143,True
deepprove,nlinear,9,4632,12,0.878,0.017,0.001,0.474,40.033203125,4174.6,1.489,5.960464477539062e-07,0.266749,True
deepprove,nlinear,10,4632,12,0.797,0.019,0.001,0.386,40.033203125,4174.6,1.317,2.384185791015625e-07,0.076631,True
deepprove,nlinear,11,4632,12,0.859,0.018,0.001,0.357,40.033203125,4174.6,1.351,1.1920928955078125e-06,0.177705,True
deepprove,nlinear,12,4632,12,1.062,0.017,0.001,0.367,40.033203125,4174.6,1.56,3.5762786865234375e-07,0.033755,True
deepprove,nlinear,13,4632,12,0.854,0.017,0.001,0.405,40.033203125,4174.6,1.39,2.384185791015625e-07,0.023007,True
deepprove,nlinear,14,4632,12,0.819,0.017,0.001,0.353,40.033203125,4174.8,1.307,2.384185791015625e-07,0.027538,True
deepprove,nlinear,15,4632,12,1.034,0.019,0.001,0.357,40.033203125,4174.6,1.528,4.76837158203125e-07,0.065478,True
deepprove,nlinear,16,4632,12,1.037,0.018,0.001,0.555,40.033203125,4174.6,1.739,2.384185791015625e-07,0.090875,True
deepprove,nlinear,17,4632,12,0.828,0.019,0.001,0.453,40.033203125,4174.6,1.417,3.073364496231079e-07,0.314228,True
deepprove,nlinear,18,4632,12,0.879,0.016,0.001,0.507,40.033203125,4174.6,1.517,2.384185791015625e-07,0.042519,True
deepprove,nlinear,19,4632,12,0.948,0.017,0.001,0.474,40.033203125,4174.6,1.558,7.152557373046875e-07,0.063318,True
deepprove,nlinear,20,4632,12,0.83,0.017,0.001,0.348,40.033203125,4174.6,1.313,6.407499313354492e-07,0.09084,True
deepprove,nlinear,21,4632,12,1.097,0.018,0.001,0.408,40.033203125,4174.6,1.653,3.5762786865234375e-07,0.069658,True
deepprove,nlinear,22,4632,12,1.031,0.017,0.001,0.362,40.033203125,4174.6,1.537,8.344650268554688e-07,0.039562,True
deepprove,nlinear,23,4632,12,0.949,0.018,0.001,0.391,40.033203125,4174.6,1.474,3.5762786865234375e-07,0.082615,True
deepprove,nlinear,24,4632,12,0.845,0.017,0.001,0.351,40.033203125,4174.6,1.33,5.960464477539062e-07,0.018727,True
deepprove,nlinear,25,4632,12,0.909,0.017,0.001,0.358,40.033203125,4174.6,1.419,3.5762786865234375e-07,0.127259,True
deepprove,nlinear,26,4632,12,0.873,0.016,0.001,0.466,40.033203125,4174.6,1.477,4.76837158203125e-07,0.061571,True
deepprove,nlinear,27,4632,12,0.828,0.019,0.001,0.368,40.033203125,4174.6,1.329,5.364418029785156e-07,0.125876,True
deepprove,nlinear,28,4632,12,0.814,0.019,0.001,0.367,40.033203125,4174.6,1.316,2.384185791015625e-07,0.060375,True
deepprove,nlinear,29,4632,12,1.04,0.017,0.001,0.368,40.033203125,4174.6,1.538,7.152557373046875e-07,0.294033,True
