framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,dlinear,0,4632,12,1.0409,0.0352,473.6,185.5,29.848,,,0.134532,True
ezkl,dlinear,1,4632,12,0.8052,0.028,473.2,288.1,29.812,,,0.045146,True
ezkl,dlinear,2,4632,12,0.8515,0.0319,458.0,289.2,29.806,,,0.002545,True
ezkl,dlinear,3,4632,12,0.8493,0.0286,452.1,294.6,29.839,,,0.04304,True
ezkl,dlinear,4,4632,12,0.8109,0.0299,464.9,297.9,29.851,,,0.053999,True
ezkl,dlinear,5,4632,12,0.8417,0.03,472.9,305.8,29.794,,,0.047914,True
ezkl,dlinear,6,4632,12,0.7916,0.0289,487.6,311.2,29.787,,,0.009098,True
ezkl,dlinear,7,4632,12,0.8927,0.0311,483.9,311.0,29.794,,,0.079963,True
ezkl,dlinear,8,4632,12,0.8537,0.0315,479.1,313.2,29.845,,,0.27659,True
ezkl,dlinear,9,4632,12,0.8231,0.0308,481.1,314.4,29.764,,,0.29731,True
ezkl,dlinear,10,4632,12,0.8331,0.0316,457.3,313.6,29.855,,,0.075714,True
ezkl,dlinear,11,4632,12,1.0892,0.0329,469.1,314.3,29.772,,,0.132529,True
ezkl,dlinear,12,4632,12,0.9085,0.0318,476.6,315.0,29.8,,,0.042407,True
ezkl,dlinear,13,4632,12,0.8404,0.03,486.7,316.5,29.834,,,0.037733,True
ezkl,dlinear,14,4632,12,0.8167,0.032,487.3,317.5,29.813,,,0.024829,True
ezkl,dlinear,15,4632,12,0.7937,0.0282,470.0,319.3,29.833,,,0.050008,True
ezkl,dlinear,16,4632,12,0.8372,0.0321,479.0,318.6,29.83,,,0.10114,True
ezkl,dlinear,17,4632,12,0.8155,0.0292,478.2,318.7,29.835,,,0.286712,True
ezkl,dlinear,18,4632,12,0.831,0.0306,483.7,320.6,29.84,,,0.068638,True
ezkl,dlinear,19,4632,12,0.7653,0.0287,484.8,320.6,29.79,,,0.087013,True
ezkl,dlinear,20,4632,12,0.7926,0.0301,458.0,320.7,29.775,,,0.189951,True
ezkl,dlinear,21,4632,12,0.9289,0.0307,464.0,321.2,29.784,,,0.086415,True
ezkl,dlinear,22,4632,12,0.8556,0.0294,469.9,324.4,29.788,,,0.051587,True
ezkl,dlinear,23,4632,12,1.0741,0.0316,423.6,324.2,29.812,,,0.083033,True
ezkl,dlinear,24,4632,12,0.8798,0.0332,485.3,325.3,29.861,,,0.018405,True
ezkl,dlinear,25,4632,12,0.8771,0.0316,466.3,328.0,29.827,,,0.024262,True
ezkl,dlinear,26,4632,12,0.8322,0.032,486.6,331.0,29.808,,,0.055813,True
ezkl,dlinear,27,4632,12,0.8449,0.0289,471.1,326.5,29.89,,,0.059526,True
ezkl,dlinear,28,4632,12,0.8183,0.0314,492.5,321.5,29.783,,,0.059804,True
ezkl,dlinear,29,4632,12,0.9135,0.0275,456.5,324.6,29.812,,,0.136791,True
ezkl,dlinear,30,4632,12,0.8556,0.03,474.5,325.5,29.912,,,0.048772,True
ezkl,dlinear,31,4632,12,0.8066,0.0315,479.8,324.5,29.835,,,0.053941,True
ezkl,dlinear,32,4632,12,0.8211,0.0313,471.3,325.4,29.846,,,0.110058,True
ezkl,dlinear,33,4632,12,0.9095,0.029,489.3,326.3,29.837,,,0.128838,True
ezkl,dlinear,34,4632,12,0.7972,0.0297,471.6,330.1,29.84,,,0.071405,True
ezkl,dlinear,35,4632,12,0.8523,0.0312,477.5,322.5,29.843,,,0.05622,True
ezkl,dlinear,36,4632,12,0.9639,0.0698,447.1,325.3,29.837,,,0.068633,True
ezkl,dlinear,37,4632,12,0.8545,0.0302,476.3,322.7,29.906,,,0.044864,True
ezkl,dlinear,38,4632,12,0.8181,0.0298,447.4,325.7,29.828,,,0.119811,True
ezkl,dlinear,39,4632,12,0.7953,0.0302,471.5,325.9,29.772,,,0.094264,True
ezkl,dlinear,40,4632,12,0.8265,0.0312,486.4,325.9,29.94,,,0.081606,True
ezkl,dlinear,41,4632,12,1.0632,0.0315,469.3,326.0,29.868,,,0.057665,True
ezkl,dlinear,42,4632,12,0.9016,0.0355,465.8,329.0,29.83,,,0.17846,True
ezkl,dlinear,43,4632,12,0.8262,0.0327,496.2,322.6,29.881,,,0.030539,True
ezkl,dlinear,44,4632,12,0.889,0.0293,475.8,322.7,29.848,,,0.03448,True
ezkl,dlinear,45,4632,12,0.7773,0.0284,486.3,322.8,29.807,,,0.039996,True
ezkl,dlinear,46,4632,12,0.8436,0.0304,476.5,322.7,29.91,,,0.038707,True
ezkl,dlinear,47,4632,12,0.846,0.0323,483.5,324.3,29.789,,,0.053168,True
ezkl,dlinear,48,4632,12,0.8398,0.0335,473.9,320.2,29.818,,,0.052155,True
ezkl,dlinear,49,4632,12,0.8455,0.0316,460.1,323.4,29.845,,,0.061354,True
ezkl,dlinear,50,4632,12,0.8376,0.0319,480.0,323.4,29.845,,,0.23013,True
ezkl,dlinear,51,4632,12,0.8034,0.0284,468.0,323.3,29.919,,,0.070633,True
ezkl,dlinear,52,4632,12,0.7959,0.0309,482.5,321.3,29.856,,,0.109211,True
ezkl,dlinear,53,4632,12,0.7804,0.0277,487.0,324.3,29.699,,,0.027733,True
ezkl,dlinear,54,4632,12,0.78,0.0324,468.0,321.3,29.839,,,0.048211,True
ezkl,dlinear,55,4632,12,0.9047,0.0283,485.3,324.2,29.827,,,0.054924,True
ezkl,dlinear,56,4632,12,0.8346,0.035,488.8,324.3,29.886,,,0.172743,True
ezkl,dlinear,57,4632,12,0.8466,0.0304,465.4,325.2,29.862,,,0.00464,True
ezkl,dlinear,58,4632,12,0.8235,0.0315,478.5,324.4,29.87,,,0.043265,True
ezkl,dlinear,59,4632,12,0.8074,0.0283,488.0,327.4,29.79,,,0.01,True
ezkl,dlinear,60,4632,12,0.8601,0.0287,465.1,321.2,29.843,,,0.097758,True
ezkl,dlinear,61,4632,12,0.8414,0.0329,473.0,326.1,29.81,,,0.067107,True
ezkl,dlinear,62,4632,12,0.8807,0.0307,486.0,325.8,29.769,,,0.051032,True
ezkl,dlinear,63,4632,12,1.1014,0.0312,504.8,325.7,29.847,,,0.043156,True
ezkl,dlinear,64,4632,12,0.8163,0.0318,477.7,326.0,29.77,,,0.033605,True
ezkl,dlinear,65,4632,12,0.8247,0.0285,483.8,325.7,29.751,,,0.074533,True
ezkl,dlinear,66,4632,12,0.7647,0.0292,482.6,325.9,29.797,,,0.036001,True
ezkl,dlinear,67,4632,12,0.8274,0.0275,462.9,322.9,29.79,,,0.051364,True
ezkl,dlinear,68,4632,12,0.8259,0.03,478.3,322.9,29.836,,,0.045204,True
ezkl,dlinear,69,4632,12,0.9299,0.0295,461.3,325.9,29.88,,,0.050085,True
ezkl,dlinear,70,4632,12,0.847,0.0291,467.5,327.2,29.832,,,0.032639,True
ezkl,dlinear,71,4632,12,1.026,0.0316,486.4,327.0,29.849,,,0.058774,True
ezkl,dlinear,72,4632,12,0.8913,0.0323,482.4,327.2,29.8,,,0.071449,True
ezkl,dlinear,73,4632,12,0.7837,0.0322,473.4,328.1,29.871,,,0.047579,True
ezkl,dlinear,74,4632,12,0.8609,0.0304,473.9,324.0,29.811,,,0.04318,True
ezkl,dlinear,75,4632,12,0.7818,0.0303,473.3,327.0,29.845,,,0.123818,True
ezkl,dlinear,76,4632,12,0.8113,0.0404,479.5,327.2,29.898,,,0.056332,True
ezkl,dlinear,77,4632,12,0.8268,0.0309,483.8,326.0,29.896,,,0.058929,True
ezkl,dlinear,78,4632,12,0.888,0.0283,460.6,328.9,29.833,,,0.06179,True
ezkl,dlinear,79,4632,12,0.7939,0.0308,458.5,328.9,29.851,,,0.051998,True
ezkl,dlinear,80,4632,12,0.7681,0.0273,488.2,329.1,29.904,,,0.028625,True
ezkl,dlinear,81,4632,12,0.8118,0.0272,470.5,331.0,29.776,,,0.02407,True
ezkl,dlinear,82,4632,12,0.8758,0.0305,475.0,329.0,29.735,,,0.448653,True
ezkl,dlinear,83,4632,12,0.8642,0.0269,467.5,328.9,29.935,,,0.96062,True
ezkl,dlinear,84,4632,12,0.8191,0.0282,479.8,329.9,29.897,,,0.343707,True
ezkl,dlinear,85,4632,12,0.8595,0.029,474.7,330.5,29.803,,,0.009181,True
ezkl,dlinear,86,4632,12,0.811,0.0264,485.8,330.5,29.756,,,0.093954,True
ezkl,dlinear,87,4632,12,0.8656,0.0315,474.8,329.2,29.807,,,0.086374,True
ezkl,dlinear,88,4632,12,0.784,0.0297,478.3,333.5,29.733,,,0.005287,True
ezkl,dlinear,89,4632,12,0.8228,0.0289,465.5,333.4,29.802,,,0.005344,True
ezkl,dlinear,90,4632,12,0.9091,0.032,486.2,335.2,29.854,,,0.005494,True
ezkl,dlinear,91,4632,12,0.7374,0.0294,490.9,333.4,29.854,,,0.002072,True
ezkl,dlinear,92,4632,12,0.9327,0.0306,476.1,333.4,29.828,,,0.08534,True
ezkl,dlinear,93,4632,12,0.8337,0.0307,479.8,333.3,29.82,,,0.006205,True
ezkl,dlinear,94,4632,12,0.899,0.0292,476.1,333.2,29.84,,,0.004002,True
ezkl,dlinear,95,4632,12,0.7954,0.0291,480.2,335.5,29.852,,,0.032929,True
ezkl,dlinear,96,4632,12,0.8109,0.0281,482.2,333.4,29.905,,,0.077657,True
ezkl,dlinear,97,4632,12,0.8318,0.0311,482.1,333.5,29.821,,,0.03678,True
ezkl,dlinear,98,4632,12,0.8527,0.0273,486.7,333.6,29.84,,,0.052863,True
ezkl,dlinear,99,4632,12,0.8852,0.0306,480.1,333.5,29.817,,,0.072323,True
ezkl,dlinear,100,4632,12,0.8204,0.0292,465.6,333.4,29.836,,,0.044784,True
ezkl,dlinear,101,4632,12,0.8533,0.0314,487.5,334.3,29.785,,,0.018664,True
ezkl,dlinear,102,4632,12,0.7772,0.0279,473.5,333.4,29.889,,,0.051347,True
ezkl,dlinear,103,4632,12,0.8428,0.0301,471.0,333.3,29.869,,,0.066133,True
ezkl,dlinear,104,4632,12,0.8659,0.0313,474.7,333.4,29.791,,,0.027381,True
ezkl,dlinear,105,4632,12,0.8492,0.0284,465.1,334.4,29.864,,,0.043005,True
ezkl,dlinear,106,4632,12,0.8942,0.0291,452.9,335.5,29.916,,,0.076354,True
ezkl,dlinear,107,4632,12,0.9752,0.0368,485.0,333.4,29.88,,,0.188036,True
ezkl,dlinear,108,4632,12,0.8642,0.0331,486.0,333.5,29.768,,,0.014985,True
ezkl,dlinear,109,4632,12,0.8359,0.0314,469.0,333.6,29.809,,,0.02082,True
ezkl,dlinear,110,4632,12,0.7815,0.029,483.7,336.3,29.853,,,0.036226,True
ezkl,dlinear,111,4632,12,0.8478,0.0319,481.3,334.5,29.852,,,0.418413,True
ezkl,dlinear,112,4632,12,0.822,0.0279,464.7,334.4,29.807,,,0.067144,True
ezkl,dlinear,113,4632,12,0.8611,0.03,472.7,332.3,29.841,,,0.082596,True
ezkl,dlinear,114,4632,12,0.8053,0.0307,481.8,335.5,29.854,,,0.001091,True
ezkl,dlinear,115,4632,12,0.8359,0.029,470.1,329.9,29.858,,,0.006331,True
ezkl,dlinear,116,4632,12,0.8179,0.0299,475.6,329.9,29.723,,,0.018217,True
ezkl,dlinear,117,4632,12,0.8809,0.0296,483.6,329.8,29.798,,,0.22583,True
ezkl,dlinear,118,4632,12,0.8913,0.0292,485.8,330.8,29.827,,,0.116237,True
ezkl,dlinear,119,4632,12,0.857,0.0282,472.6,332.9,29.856,,,0.089757,True
ezkl,dlinear,120,4632,12,0.8223,0.0332,471.9,330.9,29.82,,,0.022588,True
ezkl,dlinear,121,4632,12,0.7913,0.0343,476.4,330.0,29.819,,,0.126249,True
ezkl,dlinear,122,4632,12,0.8387,0.0319,456.6,330.0,29.862,,,0.025675,True
ezkl,dlinear,123,4632,12,0.8174,0.0321,469.8,332.8,29.827,,,0.102425,True
ezkl,dlinear,124,4632,12,0.8138,0.0286,474.3,333.0,29.815,,,0.03111,True
ezkl,dlinear,125,4632,12,0.8328,0.0305,481.5,332.9,29.855,,,0.441557,True
ezkl,dlinear,126,4632,12,0.8881,0.0297,463.9,333.1,29.802,,,0.043286,True
ezkl,dlinear,127,4632,12,0.8578,0.0296,495.4,336.2,29.849,,,0.27497,True
ezkl,dlinear,128,4632,12,0.9507,0.0293,470.2,328.5,29.803,,,1.136743,True
ezkl,dlinear,129,4632,12,0.8153,0.0288,468.5,328.5,29.86,,,0.167486,True
ezkl,dlinear,130,4632,12,1.0691,0.033,495.7,330.7,29.857,,,0.758055,True
ezkl,dlinear,131,4632,12,0.8131,0.0264,480.9,330.7,29.886,,,0.121899,True
ezkl,dlinear,132,4632,12,0.8508,0.0317,461.9,334.6,29.79,,,0.088872,True
ezkl,dlinear,133,4632,12,0.7719,0.0288,470.3,334.6,29.841,,,0.176343,True
ezkl,dlinear,134,4632,12,0.868,0.0309,472.3,334.5,29.862,,,0.049443,True
ezkl,dlinear,135,4632,12,0.8277,0.03,484.4,336.5,29.763,,,0.096475,True
ezkl,dlinear,136,4632,12,0.8881,0.0293,487.5,331.5,29.823,,,0.015588,True
ezkl,dlinear,137,4632,12,0.8116,0.0302,497.8,334.6,29.904,,,0.028583,True
ezkl,dlinear,138,4632,12,0.9069,0.03,477.5,334.5,29.822,,,0.025377,True
ezkl,dlinear,139,4632,12,0.8333,0.0295,482.4,331.6,29.795,,,0.016605,True
ezkl,dlinear,140,4632,12,0.8086,0.0297,474.9,334.6,29.728,,,0.068466,True
ezkl,dlinear,141,4632,12,0.8598,0.0292,464.1,334.6,29.851,,,0.095247,True
ezkl,dlinear,142,4632,12,0.9965,0.033,485.7,334.4,29.899,,,0.089712,True
ezkl,dlinear,143,4632,12,1.1401,0.0314,507.0,334.6,29.894,,,0.0409,True
ezkl,dlinear,144,4632,12,0.7975,0.0288,461.5,335.0,29.833,,,0.065978,True
ezkl,dlinear,145,4632,12,0.8745,0.0306,482.6,335.0,29.829,,,0.068167,True
ezkl,dlinear,146,4632,12,0.8224,0.0302,482.8,334.9,29.804,,,0.026324,True
ezkl,dlinear,147,4632,12,0.8402,0.0305,473.7,335.1,29.832,,,0.108313,True
ezkl,dlinear,148,4632,12,0.7698,0.0284,480.6,335.1,29.906,,,0.019086,True
ezkl,dlinear,149,4632,12,0.8496,0.0307,479.0,336.1,29.759,,,0.016631,True
ezkl,dlinear,150,4632,12,0.8425,0.0319,479.5,337.1,29.845,,,0.025459,True
ezkl,dlinear,151,4632,12,0.8317,0.03,477.4,335.1,29.877,,,0.023501,True
ezkl,dlinear,152,4632,12,0.778,0.0303,475.6,335.6,29.812,,,0.012635,True
ezkl,dlinear,153,4632,12,0.8096,0.0307,480.5,335.7,29.809,,,0.036797,True
ezkl,dlinear,154,4632,12,0.7701,0.0289,485.6,338.8,29.855,,,0.087137,True
ezkl,dlinear,155,4632,12,0.8581,0.0305,483.6,338.8,29.848,,,0.022802,True
ezkl,dlinear,156,4632,12,0.8358,0.0294,472.6,332.7,29.857,,,0.104444,True
ezkl,dlinear,157,4632,12,0.9495,0.0315,471.8,334.5,29.804,,,0.060134,True
ezkl,dlinear,158,4632,12,0.8199,0.0296,474.4,334.5,29.792,,,0.011661,True
ezkl,dlinear,159,4632,12,0.799,0.0304,478.1,334.6,29.821,,,0.048444,True
ezkl,dlinear,160,4632,12,0.8054,0.0292,480.5,336.6,29.84,,,0.029653,True
ezkl,dlinear,161,4632,12,0.8238,0.0295,474.7,334.7,29.842,,,0.029269,True
ezkl,dlinear,162,4632,12,0.8457,0.0297,471.8,335.6,29.838,,,0.018554,True
ezkl,dlinear,163,4632,12,0.7772,0.0298,472.2,332.4,29.732,,,0.033279,True
ezkl,dlinear,164,4632,12,0.8642,0.0284,476.7,335.5,29.828,,,0.029192,True
ezkl,dlinear,165,4632,12,0.8169,0.0302,484.8,335.2,29.789,,,0.032217,True
ezkl,dlinear,166,4632,12,0.7625,0.0307,476.1,335.5,29.838,,,0.04673,True
ezkl,dlinear,167,4632,12,0.8048,0.03,483.4,335.5,29.829,,,0.005791,True
ezkl,dlinear,168,4632,12,0.8248,0.03,472.8,335.5,29.942,,,0.023442,True
ezkl,dlinear,169,4632,12,0.7952,0.0288,477.9,335.6,29.882,,,0.043677,True
ezkl,dlinear,170,4632,12,0.9763,0.0332,483.5,335.6,29.828,,,0.052103,True
ezkl,dlinear,171,4632,12,1.013,0.0303,473.8,337.4,29.864,,,0.030932,True
ezkl,dlinear,172,4632,12,0.8299,0.0312,474.7,335.6,29.81,,,0.01381,True
ezkl,dlinear,173,4632,12,0.7646,0.0319,477.4,335.7,29.808,,,0.04629,True
ezkl,dlinear,174,4632,12,0.8285,0.0305,482.8,332.8,29.891,,,0.019317,True
ezkl,dlinear,175,4632,12,0.8391,0.0303,477.9,335.4,29.899,,,0.012376,True
ezkl,dlinear,176,4632,12,0.817,0.0311,489.6,332.6,29.78,,,0.014454,True
ezkl,dlinear,177,4632,12,0.7536,0.0287,484.4,335.6,29.784,,,0.010695,True
ezkl,dlinear,178,4632,12,0.7695,0.0281,479.5,332.7,29.86,,,0.013485,True
ezkl,dlinear,179,4632,12,0.8359,0.0325,486.9,336.4,29.817,,,0.028328,True
ezkl,dlinear,180,4632,12,0.861,0.03,486.6,335.6,29.843,,,0.01329,True
ezkl,dlinear,181,4632,12,0.8262,0.0277,474.4,335.6,29.878,,,0.01044,True
ezkl,dlinear,182,4632,12,0.8355,0.0282,485.9,335.6,29.851,,,0.00033,True
ezkl,dlinear,183,4632,12,0.8953,0.029,473.6,335.5,29.851,,,0.054699,True
ezkl,dlinear,184,4632,12,0.9366,0.0316,475.1,337.2,29.871,,,0.015293,True
ezkl,dlinear,185,4632,12,0.8277,0.0315,486.9,331.7,29.791,,,0.014101,True
ezkl,dlinear,186,4632,12,0.8058,0.0303,464.1,334.9,29.813,,,0.011706,True
ezkl,dlinear,187,4632,12,0.8552,0.0287,447.9,332.9,29.824,,,0.023499,True
ezkl,dlinear,188,4632,12,0.8035,0.0302,492.9,333.8,29.827,,,0.297082,True
ezkl,dlinear,189,4632,12,0.794,0.0302,484.9,333.9,29.853,,,0.022944,True
ezkl,dlinear,190,4632,12,0.8344,0.0322,484.2,332.9,29.851,,,0.011814,True
ezkl,dlinear,191,4632,12,0.8071,0.0281,478.3,333.8,29.876,,,0.010885,True
ezkl,dlinear,192,4632,12,0.7821,0.0292,475.6,334.9,29.83,,,0.063437,True
ezkl,dlinear,193,4632,12,0.8041,0.0281,475.0,331.4,29.852,,,0.026015,True
ezkl,dlinear,194,4632,12,0.8249,0.0301,484.9,332.4,29.871,,,0.013567,True
ezkl,dlinear,195,4632,12,0.8119,0.032,475.4,331.5,29.74,,,0.144508,True
ezkl,dlinear,196,4632,12,0.8218,0.0298,480.7,331.5,29.854,,,0.169156,True
ezkl,dlinear,197,4632,12,0.8395,0.0308,482.4,331.4,29.837,,,0.037028,True
