framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,0,4632,12,0.8913,0.0304,485.8,258.4,29.817,,,0.075062,True
ezkl,linear,1,4632,12,0.8368,0.0299,480.4,283.9,29.758,,,0.061659,True
ezkl,linear,2,4632,12,0.8547,0.0289,479.7,288.3,29.843,,,0.001792,True
ezkl,linear,3,4632,12,0.8485,0.0325,483.2,285.1,29.781,,,0.055173,True
ezkl,linear,4,4632,12,0.91,0.0322,479.1,286.0,29.855,,,0.042631,True
ezkl,linear,5,4632,12,1.0604,0.0327,494.1,297.8,29.856,,,0.029422,True
ezkl,linear,6,4632,12,0.8643,0.0295,465.1,299.1,29.745,,,0.005763,True
ezkl,linear,7,4632,12,0.8744,0.029,455.1,303.0,29.743,,,0.068101,True
ezkl,linear,8,4632,12,0.833,0.0295,481.4,305.2,29.764,,,0.232582,True
ezkl,linear,9,4632,12,0.8022,0.033,492.4,302.3,29.788,,,0.292855,True
ezkl,linear,10,4632,12,0.8289,0.0295,481.3,305.2,29.806,,,0.072157,True
ezkl,linear,11,4632,12,0.7721,0.0294,480.5,307.9,29.771,,,0.104958,True
ezkl,linear,12,4632,12,0.7802,0.0271,483.2,307.0,29.769,,,0.038583,True
ezkl,linear,13,4632,12,0.8369,0.0266,494.7,307.8,29.758,,,0.026552,True
ezkl,linear,14,4632,12,0.8527,0.033,474.9,307.8,29.883,,,0.021603,True
ezkl,linear,15,4632,12,0.8868,0.0294,455.6,305.7,29.829,,,0.059496,True
ezkl,linear,16,4632,12,0.8121,0.0296,453.1,310.7,29.777,,,0.099062,True
ezkl,linear,17,4632,12,0.833,0.03,481.4,307.2,29.736,,,0.270306,True
ezkl,linear,18,4632,12,0.8459,0.0333,480.0,315.1,29.843,,,0.036459,True
ezkl,linear,19,4632,12,0.8058,0.029,480.3,318.1,29.837,,,0.059094,True
ezkl,linear,20,4632,12,0.8412,0.0288,451.7,318.9,29.812,,,0.114904,True
ezkl,linear,21,4632,12,1.0757,0.0309,418.3,319.0,29.851,,,0.081298,True
ezkl,linear,22,4632,12,0.9422,0.0293,478.7,319.7,29.945,,,0.053521,True
ezkl,linear,23,4632,12,0.9287,0.0332,503.9,319.7,29.739,,,0.080005,True
ezkl,linear,24,4632,12,0.9092,0.0295,482.8,321.0,29.814,,,0.016127,True
ezkl,linear,25,4632,12,0.8911,0.029,480.3,320.9,29.785,,,0.014315,True
ezkl,linear,26,4632,12,0.8499,0.0298,477.7,315.8,29.736,,,0.03792,True
ezkl,linear,27,4632,12,0.8751,0.0295,471.9,321.6,29.814,,,0.102923,True
ezkl,linear,28,4632,12,0.8185,0.027,469.1,317.3,29.75,,,0.045124,True
ezkl,linear,29,4632,12,0.8547,0.0334,466.8,318.6,29.786,,,0.293817,True
ezkl,linear,30,4632,12,0.7715,0.028,474.4,319.6,29.851,,,0.084014,True
ezkl,linear,31,4632,12,0.8272,0.033,481.1,318.6,29.793,,,0.045208,True
ezkl,linear,32,4632,12,0.835,0.0314,491.0,308.3,29.8,,,0.054178,True
ezkl,linear,33,4632,12,0.8387,0.0302,473.3,313.3,29.791,,,0.115045,True
ezkl,linear,34,4632,12,1.0809,0.0327,416.3,311.4,29.807,,,0.070449,True
ezkl,linear,35,4632,12,0.873,0.031,459.3,314.7,29.782,,,0.045274,True
ezkl,linear,36,4632,12,0.8463,0.0285,477.4,317.7,29.818,,,0.027042,True
ezkl,linear,37,4632,12,0.8387,0.034,479.3,317.8,29.825,,,0.044702,True
