framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,nlinear,0,4632,12,0.9892,0.0296,496.4,258.5,29.797,,,0.091613,True
ezkl,nlinear,1,4632,12,0.8472,0.0303,482.8,278.2,29.831,,,0.03685,True
ezkl,nlinear,2,4632,12,0.9075,0.0283,483.8,269.3,29.778,,,0.000191,True
ezkl,nlinear,3,4632,12,0.8384,0.0345,483.0,295.1,29.825,,,0.060932,True
ezkl,nlinear,4,4632,12,0.8096,0.0278,483.0,294.0,29.807,,,0.035288,True
ezkl,nlinear,5,4632,12,1.1016,0.0398,474.8,297.1,29.782,,,0.038074,True
ezkl,nlinear,6,4632,12,1.0466,0.0291,446.2,296.9,29.766,,,0.005673,True
ezkl,nlinear,7,4632,12,0.9284,0.0361,475.0,299.9,29.813,,,0.071816,True
ezkl,nlinear,8,4632,12,0.909,0.0342,455.4,302.9,29.818,,,0.250143,True
ezkl,nlinear,9,4632,12,0.9226,0.033,471.5,304.9,29.839,,,0.266749,True
ezkl,nlinear,10,4632,12,0.8855,0.0328,451.7,306.1,29.866,,,0.076631,True
ezkl,nlinear,11,4632,12,0.8489,0.0295,475.9,305.8,29.89,,,0.177705,True
ezkl,nlinear,12,4632,12,0.8146,0.0283,483.7,308.9,29.839,,,0.033755,True
ezkl,nlinear,13,4632,12,0.8225,0.0306,474.2,311.0,29.803,,,0.023007,True
ezkl,nlinear,14,4632,12,1.0122,0.0425,537.4,307.0,29.839,,,0.027538,True
ezkl,nlinear,15,4632,12,0.8162,0.0305,491.3,304.4,29.811,,,0.065478,True
ezkl,nlinear,16,4632,12,0.8515,0.0264,475.6,307.0,29.793,,,0.090875,True
ezkl,nlinear,17,4632,12,0.8006,0.0305,480.9,310.0,29.775,,,0.314228,True
ezkl,nlinear,18,4632,12,0.8608,0.0331,472.8,313.0,29.703,,,0.042519,True
ezkl,nlinear,19,4632,12,0.9069,0.0356,477.5,312.2,29.83,,,0.063318,True
ezkl,nlinear,20,4632,12,0.9031,0.0316,475.0,312.1,29.829,,,0.09084,True
ezkl,nlinear,21,4632,12,0.9152,0.0349,474.2,312.7,29.845,,,0.069658,True
ezkl,nlinear,22,4632,12,0.8896,0.0306,466.5,313.6,29.826,,,0.039562,True
ezkl,nlinear,23,4632,12,0.8699,0.0329,470.2,314.6,29.826,,,0.082615,True
ezkl,nlinear,24,4632,12,0.9013,0.0315,481.5,315.7,29.862,,,0.018727,True
ezkl,nlinear,25,4632,12,0.9069,0.0279,458.7,315.2,29.786,,,0.127259,True
ezkl,nlinear,26,4632,12,0.8592,0.0294,478.4,315.6,29.758,,,0.061571,True
ezkl,nlinear,27,4632,12,0.9417,0.0376,470.4,315.6,29.833,,,0.125876,True
ezkl,nlinear,28,4632,12,1.0538,0.0391,479.2,316.4,29.779,,,0.060375,True
ezkl,nlinear,29,4632,12,0.9089,0.0311,456.6,316.6,29.888,,,0.294033,True
ezkl,nlinear,30,4632,12,0.8868,0.0291,466.9,318.6,29.852,,,0.102056,True
ezkl,nlinear,31,4632,12,0.889,0.0324,480.3,316.7,29.757,,,0.05694,True
ezkl,nlinear,32,4632,12,0.905,0.0324,458.6,316.6,29.824,,,0.016421,True
ezkl,nlinear,33,4632,12,0.8546,0.0331,478.6,316.8,29.791,,,0.130955,True
ezkl,nlinear,34,4632,12,0.9047,0.0331,468.7,316.7,29.773,,,0.065981,True
ezkl,nlinear,35,4632,12,1.0637,0.0322,430.6,318.6,29.749,,,0.049574,True
ezkl,nlinear,36,4632,12,0.9421,0.0337,462.8,320.7,29.806,,,0.042651,True
ezkl,nlinear,37,4632,12,0.8564,0.0345,478.8,318.8,29.821,,,0.042345,True
ezkl,nlinear,38,4632,12,0.8411,0.03,464.8,318.7,29.688,,,0.123979,True
ezkl,nlinear,39,4632,12,0.8023,0.1082,473.6,318.7,29.8,,,0.08996,True
ezkl,nlinear,40,4632,12,0.8147,0.0273,482.4,319.7,29.792,,,0.099396,True
ezkl,nlinear,41,4632,12,0.8508,0.0298,474.9,319.8,29.692,,,0.045675,True
ezkl,nlinear,42,4632,12,0.8191,0.0323,478.6,319.3,29.857,,,0.173538,True
ezkl,nlinear,43,4632,12,0.8339,0.0283,480.9,320.4,29.854,,,0.037023,True
ezkl,nlinear,44,4632,12,0.7902,0.0262,472.1,321.4,29.86,,,0.036653,True
ezkl,nlinear,45,4632,12,0.8641,0.0305,475.7,321.3,29.796,,,0.039454,True
